"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","YELI","BARN","BLMU","GRAL","REAL","SURF","EELG","ALAR","SOBK","DABK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0399/B","32","5","SE","5","6A","5","","C","","","","C","","","","","","","C","","P","C","","S1.2.1.1","","203.731","1","Spilling","NW","5.38","Moderate"
"04/01/0400/A","32","5","SE","5","6A","5","C","","","","","","","P","","","","","C","","P","C","","S1.2.1.1","","179.267","1","Spilling","NW","5.38","Low"
"04/01/0401/A","32","5","SE","5","6A","5","","C","","","","P","","C","","","","","C","","C","C","","S1.2.1.1","","287.142","2","Spilling","NW","5.38","Moderate"
"04/01/0401/B","32","6","SE","6","7","3","","","M","","","C","","","","","","","C","","C","C","P","S1.2.1.2.1","","752.167","3","Spilling","NW","5.38","Low"
"04/01/0402/A","32","2","SE","2","6B","5","C","","M","","","C","","P","","","","","C","","C","P","P","S1.1","S1.2.1.1","703.694","4","Spilling","NW","5.38","Low"
"04/01/0403/A","32","6","SE","6","6B","5","C","","M","","","C","","","","P","","","C","","C","","P","S1.2.1.2.1","","608.194","4","Spilling","NW","5.38","Low"
"04/01/0403/B","32","5","SE","5","6B","5","C","","M","","","C","","P","","","","","C","","P","","P","S1.2.1.1","","455.697","4","Spilling","NW","5.38","Low"
"04/01/0403/C","32","6","SE","6","6B","5","P","","M","","","C","","P","","","","","C","","C","C","","S1.2.1.2.1","","179.298","3","Spilling","NW","5.38","Low"
"04/01/0404/A","31","7","SE","7","5","4","","","M","","","","","P","","","","","","","P","","","S1.2.2.2","","130.325","5","Plunging","NW","5.38","Low"
"04/01/0405/A","31","5","SE","5","6B","4","","","M","M","","C","","P","","","","","C","","C","","","S1.2.1.1","","262.446","4","Spilling","NW","5.38","Low"
"04/01/0406/A","31","5","SE","5","6B","4","","","","N","","C","","P","","","","","C","","C","P","","S1.2.1.1","","335.759","8","Plunging","NW","5.38","Low"
"04/01/0407/A","31","2","SE","2","6B","5","","","N","N","","P","","C","","","","","C","","C","C","","S1.1","S1.2.1.1","160.13","5","Plunging","NW","5.38","Low"
"04/01/0408/A","31","2","SE","2","6B","5","","","M","M","","C","","P","","","","","C","","C","C","","S1.1","S1.2.1.1","505.717","8","Plunging","NW","5.38","Low"
"04/01/0409/A","30","2","SE","2","6B","1","","","","M","","C","P","P","","","","","C","","C","C","C","S1.1","S1.2.1.1","311.029","12","Plunging","W","5.38","Low"
"04/01/0410/A","31","5","SE","5","6B","4","","","M","M","","P","","P","","","","","C","","C","C","","S1.2.1.1","","255.008","6","Plunging","SW","5.38","Low"
"04/01/0410/B","31","6","SE","6","5","4","","","","M","","","","P","","","","","C","","","C","","S1.2.1.2.1","","124.425","6","Plunging","W","5.38","Low"
"04/01/0410/C","31","3","SE","3","6B","3","","","","M","","P","","P","","","","","C","","P","C","","S1.1","S1.2.1.2.1","119.541","5","Plunging","W","5.38","Low"
"04/01/0411/A","31","3","SE","3","5","4","","C","","","","P","","","","","","","C","","P","C","","S1.1","S1.2.1.2.1","130.899","7","Plunging","W","5.38","Low"
"04/01/0412/A","30","1","SE","1","2A","1","","","","W","","P","P","","","","","","C","","C","C","","S1.1","","129.272","12","Plunging","W","5.38","Low"
"04/01/0412/B","30","3","SE","3","6B","5","","C","","","","","","","","","","","C","","P","C","","S1.1","S1.2.1.2.1","66.926","4","Spilling","SW","5.38","Low"
"04/01/0413/A","31","3","SE","3","5","3","","C","M","","","","","","","","","","C","","C","C","","S1.1","S1.2.1.2.1","367.883","3","Spilling","W","5.38","Low"
"04/01/0414/A","31","6","SE","6","5","4","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","147.668","5","Plunging","NW","5.38","Moderate"
"04/01/0415/A","32","6","SE","6","5","4","","C","","N","","","","P","","","","","P","","P","P","","S1.2.1.2.1","","143.343","6","Plunging","NW","5.38","Moderate"
"04/01/0416/A","32","3","SE","3","5","4","","","","M","","P","","","","","","","C","","","C","","S1.1","S1.2.1.2.1","63.814","8","Plunging","N","5.38","Low"
"04/01/0416/B","32","6","SE","6","5","4","","C","","","","","","","","","","","C","","","","","S1.2.1.2.1","","74.316","6","Plunging","N","5.38","Low"
"04/01/0417/A","30","3","SE","3","5","4","","","","M","","P","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","84.347","15","Plunging","N","5.38","Low"
"04/01/0417/B","30","6","SE","6","6B","4","","C","","","","","","P","","","","","C","","","P","","S1.2.1.2.1","","70.063","8","Plunging","N","5.38","Low"
"04/01/0418/A","31","2","SE","2","6B","5","","P","","M","","C","","","","","","","C","","C","C","","S1.1","S1.2.1.1","148.369","9","Plunging","N","5.38","Low"
"04/01/0419/A","30","1","SE","1","1C","1","","","","M","","C","P","","","","","","C","","C","C","P","S1.1","","90.728","28","Collapsing","NW","5.38","Moderate"
"04/01/0419/B","30","2","SE","2","6B","5","","","M","M","","C","P","P","","","","","C","","","C","","S1.1","S1.2.1.1","113.63","9","Plunging","NW","5.38","Low"
"04/01/0420/A","31","1","SE","1","1A","1","","","","M","","C","P","","","","","","C","","P","C","","S1.1","","275.652","34","Surging","NW","5.38","Low"
"04/01/0420/B","31","6","SE","6","5","5","","P","","M","","P","","","","","","","C","","P","C","","S1.2.1.2.1","","95.627","7","Plunging","SW","5.38","Low"
"04/01/0420/C","31","2","SE","2","2A","4","","","","M","","C","","","","","","","C","","C","C","","S1.1","S1.2.1.1","197.536","20","Plunging","W","5.38","Low"
"04/01/0420/D","31","2","SE","2","5","5","","","","M","","P","","P","","","","","C","","C","C","","S1.1","S1.2.1.1","107.604","11","Plunging","SW","5.38","Low"
"04/01/0420/E","31","3","SE","3","8A","5","","","","M","","C","","","","","","","C","","C","C","","S1.1","S1.2.1.2.1","176.183","42","Collapsing","W","5.38","Low"
"04/01/0420/F","31","3","SE","3","8D","5","","","","M","","C","","","","","","","C","","C","C","","S1.1","S1.2.1.2.1","54.377","11","Plunging","SW","5.38","Low"
"04/01/0420/G","31","1","SE","1","1A","2","","","","N","","C","P","","","","","","C","","","C","","S1.1","","91.522","70","Surging","W","5.38","Low"
"04/01/0420/H","31","6","SE","6","5","5","","","M","","","P","","P","","","","","C","","P","C","","S1.2.1.2.1","","63.373","8","Plunging","SW","5.38","Low"
"04/01/0420/I","31","3","SE","3","8D","5","","","","M","","P","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","65.263","15","Plunging","W","5.38","Low"
"04/01/0420/J","31","3","SE","3","5","5","","","","M","","P","","P","","","","","C","","C","","","S1.1","S1.2.1.2.1","72.63","9","Plunging","W","5.38","Low"
"04/01/0421/A","31","3","SE","3","5","4","","C","","","","","","P","","","","","C","","C","","","S1.1","S1.2.1.2.1","68.319","8","Plunging","NW","5.38","Low"
"04/01/0421/B","31","6","SE","6","5","4","","","","M","","","","C","","","","","C","","","","","S1.2.1.2.1","","59.884","9","Plunging","NW","5.38","Low"
"04/01/0422/A","40","1","SP","1","1A","2","","","","M","","","","","","","","","C","","C","C","","S1.1","","217.215","31","Collapsing","NW","5.38","Low"
"04/01/0422/B","40","3","SP","3","5","4","","","","M","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","212.516","17","Plunging","NW","5.38","Low"
"04/01/0428/A","40","6","SP","6","5","4","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","98.061","7","Plunging","N","5.38","Low"
"04/01/0428/B","40","2","SP","2","1C","4","","","","M","","P","","","","","","","C","","C","","","S1.1","S1.2.1.1","39.952","28","Collapsing","N","5.38","Low"
"04/01/0428/C","40","2","SP","2","8D","4","","","","M","","P","","P","","","","","C","","C","","","S1.1","S1.2.1.1","80.644","21","Plunging","SW","5.38","Low"
"04/01/0429/A","41","6","SP","6","5","5","","C","","M","","C","","P","","","","","C","","C","","","S1.2.1.2.1","","51.069","6","Spilling","S","5.38","Low"
"04/01/0429/B","41","6","SP","6","5","5","","P","M","","","","","","","","","","C","","C","","","S1.2.1.2.1","","45.333","8","Plunging","SW","5.38","Low"
"04/01/0430/A","40","6","SP","6","8C","5","","","","M","","C","","C","","","","","C","","C","","","S1.2.1.2.1","","291.253","17","Plunging","W","5.38","Low"
"04/01/0430/B","40","12","SP","12","8C","5","","","","M","","C","","","","","","","C","","C","","","S3","","193.16","42","Collapsing","W","5.38","Low"
"04/01/0431/A","41","12","SP","12","8C","5","","","","M","","P","","","","","","","C","","C","","","S3","","110.399","31","Plunging","NW","5.38","Low"
"04/01/0431/B","41","12","SP","12","8C","5","","","","N","","C","","","","","","","C","","C","","","S3","","102.052","26","Plunging","SE","5.38","Low"
"04/01/0432/A","51","12","P","12","9A","5","","","","N","","","","P","","","","","","","C","","","S3","","439.461","22","Plunging","SW","5.38","Low"
"04/01/0433/A","40","12","SP","12","8C","5","","","","M","","C","","C","","","","","C","","C","","","S3","","157.289","42","Collapsing","W","5.38","Low"
"04/01/0434/A","51","12","P","12","8C","5","","","","N","","C","","C","","","","","C","","C","","","S3","","156.363","42","Plunging","E","5.38","Low"
"04/01/0434/B","51","3","P","3","8A","5","","","","M","","","","C","","","P","","P","","C","","","S1.1","S1.2.1.2.1","85.111","11","Plunging","SE","5.38","Low"
"04/01/0435/A","51","6","P","6","9A","5","","","","N","","","","C","","","C","","P","","C","","","S1.2.1.2.1","","116.933","17","Plunging","W","5.38","Low"
"04/01/0436/A","51","6","P","6","9A","5","","","N","M","","","","C","","","C","","C","","C","","","S1.2.1.2.1","","171.434","6","Spilling","SE","5.38","Low"
"04/01/0437/A","51","6","P","6","9A","5","","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","106.798","5","Spilling","S","5","Low"
"04/01/0438/A","51","12","P","12","8C","5","","","","N","","P","","","","","C","","C","","C","","","S3","","213.721","14","Plunging","SE","5","Low"
"04/01/0439/A","51","12","P","12","8C","5","","","N","","","C","","","","","C","","C","","","","","S3","","113.872","19","Plunging","SE","4.5","Low"
"04/01/0439/B","51","6","P","6","5","5","","P","","N","","P","","","","","C","","C","","C","","","S1.2.1.2.1","","60.73","19","Plunging","SE","4.5","Low"
"04/01/0439/C","51","6","P","6","5","5","P","","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","125.72","24","Plunging","SE","4","Low"
"04/01/0440/A","50","6","P","6","5","5","C","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","382.001","27","Plunging","E","3.5","Low"
"04/01/0441/A","50","6","P","6","5","5","C","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","174.578","16","Plunging","NE","3.5","Low"
"04/01/0442/A","51","6","P","6","10A","5","P","C","","","","","","","","","C","","C","","","","","S1.2.1.2.1","","155.106","11","Plunging","NE","3.5","Low"
"04/01/0443/A","51","6","P","6","5","5","C","","","","","","","","","","C","","C","","P","","","S1.2.1.2.1","","470.491","35","Plunging","E","3.5","Low"
"04/01/0444/A","51","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","115.617","21","Plunging","E","3","Low"
"04/01/0445/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","308.712","21","Plunging","E","3","Low"
"04/01/0446/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","554.47","21","Plunging","W","3","Low"
"04/01/0447/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","135.792","21","Plunging","W","3","Low"
"04/01/0448/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","321.002","6","Spilling","N","3","Low"
"04/01/0449/A","51","12","P","12","10A","5","","C","","","","","","","","","C","","","","","","","S3","","367.332","11","Plunging","N","3","Low"
"04/01/0450/A","53","10","P","10","10A","5","C","","","","","","","","","","C","","","","P","","","S1.2","S2.3","151.029","8","Spilling","N","3","Low"
"04/01/0451/A","50","3","P","3","8A","5","C","","","","","","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","103.658","24","Plunging","W","3.5","Low"
"04/01/0452/A","53","10","P","10","10A","5","C","P","","","","","","","","","C","","C","","","","","S1.2","S2.3","102.754","41","Plunging","W","3.5","Low"
"04/01/0453/A","54","6","P","6","10A","5","","C","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","101.014","19","Plunging","SW","3.5","Low"
"04/01/0453/B","54","12","P","12","5","5","","C","","","","","","","","","C","","C","","C","","","S3","","186.833","41","Plunging","W","3.5","Low"
"04/01/0454/A","50","3","P","3","5","5","","C","","","","","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","231.306","7","Spilling","W","3.5","Low"
"04/01/0455/A","53","10","P","10","10A","5","","C","","","","","","","","","","","","","","","","S1.2","S2.3","292.315","2","Spilling","S","3","Low"
"04/01/0456/A","50","12","P","12","10A","5","","P","N","","","","","","","","","","","","","","","S3","","39.139","31","Plunging","W","3","Low"
"04/01/0457/A","54","6","P","6","10A","5","C","P","","","","","","","","","","","","","","","","S1.2.1.2.1","","148.68","9","Spilling","N","3","Low"
"04/01/0457/B","54","6","P","6","10A","5","P","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","114.599","10","Plunging","W","3.5","Low"
"04/01/0458/A","54","6","P","6","9B","5","","","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","36.507","24","Plunging","W","3.5","Low"
"04/01/0459/A","51","8","P","8","10A","5","P","","","","","","","","","","C","","","","","","","S1.2.2.3","","148.102","24","Plunging","N","3.5","Low"
"04/01/0460/A","54","3","P","3","5","5","C","P","","","","","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","173.74","15","Plunging","NW","4","Low"
"04/01/0460/B","54","6","P","6","5","5","C","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","153.941","33","Plunging","W","4.5","Low"
"04/01/0461/A","54","6","P","6","9A","5","C","","N","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","288.308","12","Plunging","NW","5","Low"
"04/01/0462/A","51","6","P","6","9A","5","C","","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","153.057","4","Spilling","NW","5","Low"
"04/01/0463/A","53","6","P","6","9A","5","","C","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","184.995","3","Spilling","N","5","Low"
"04/01/0464/A","51","3","P","3","9A","5","","","","N","","P","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","138.46","14","Plunging","N","5","Low"
"04/01/0465/A","51","6","P","6","9A","5","","","","N","","","","","","","C","","","","C","","","S1.2.1.2.1","","150.001","8","Spilling","NW","5","Low"
"04/01/0465/B","51","6","P","6","9A","5","","C","","","","","","","","","C","","","","P","","","S1.2.1.2.1","","73.508","4","Spilling","N","5","Low"
"04/01/0466/A","51","6","P","6","9A","5","","","N","N","","","","","","","C","","C","","C","","","S1.2.1.2.1","","131.395","6","Spilling","E","5","Low"
"04/01/0467/A","51","3","P","3","9A","5","","C","","","","","","P","","","P","","C","","C","","","S1.1","S1.2.1.2.1","154.402","3","Spilling","N","5","Low"
"04/01/0468/A","40","2","SP","2","8D","4","","","","M","","P","","P","","","","","C","","C","","","S1.1","S1.2.1.1","97.04","20","Plunging","NW","5.5","Low"
"04/01/0469/A","40","2","SP","2","8D","4","","","","M","","C","","P","","","","","C","","C","","","S1.1","S1.2.1.1","113.713","12","Plunging","W","5.5","Low"
"04/01/0469/B","40","5","SP","5","6B","4","","","","M","","P","","","","","","","C","","C","","","S1.2.1.1","","208.683","10","Plunging","SW","5.5","Low"
"04/01/0470/A","41","6","SP","6","5","5","","C","","","","C","","P","","","","","C","","C","","","S1.2.1.2.1","","58.358","7","Plunging","S","5.5","Low"
"04/01/0471/A","41","6","SP","6","5","5","","P","M","","","","","","","","","","C","","C","","","S1.2.1.2.1","","173.802","9","Plunging","SW","5.5","Low"
"04/01/0472/A","51","6","P","6","5","5","","","","M","","","","","","","","","C","","C","","","S1.2.1.2.1","","143.438","12","Plunging","W","5.5","Low"
"04/01/0473/A","51","6","P","6","9A","5","C","","M","","","","","","","","","","C","","C","","","S1.2.1.2.1","","166.135","5","Spilling","NW","5.5","Low"
"04/01/0474/A","40","3","SP","3","6B","5","","","","M","","C","","P","","","","","C","","C","","","S1.1","S1.2.1.2.1","81.436","27","Plunging","NW","5.5","Low"
"04/01/0474/B","40","2","SP","2","8D","4","","","","M","","C","","","","","","","C","","C","","","S1.1","S1.2.1.1","236.799","48","Surging","W","5.5","Low"
"04/01/0475/A","40","6","SP","6","6B","5","C","","M","","","","","","","","","","C","","C","","","S1.2.1.2.1","","105.368","15","Plunging","S","5.5","Low"
"04/01/0476/A","51","6","P","6","9A","5","C","P","","M","","","","P","","","","","C","","C","","","S1.2.1.2.1","","197.532","7","Plunging","SW","5.5","Low"
"04/01/0477/A","51","6","P","6","9A","5","C","","M","","","","","","","","","","C","","P","","","S1.2.1.2.1","","170.088","12","Plunging","SW","5.5","Low"
"04/01/0478/A","50","6","P","6","9A","5","C","","M","","","","","","","","","","C","","C","","","S1.2.1.2.1","","141.588","14","Plunging","SW","5.5","Low"
"04/01/0479/A","51","6","P","6","9A","5","C","","N","","","","","","","","","","P","","C","","","S1.2.1.2.1","","163.126","4","Spilling","SW","5.5","Low"
"04/01/0480/A","51","6","P","6","9A","5","C","","M","M","","P","","","","","","","C","","C","","","S1.2.1.2.1","","137.41","12","Plunging","NW","5.5","Low"
"04/01/0481/A","51","6","P","6","9A","5","","","","M","","C","","P","","","","","C","","C","","","S1.2.1.2.1","","99.554","6","Spilling","E","5.5","Low"
"04/01/0482/A","50","3","P","3","8D","5","","","M","M","","P","","P","","","","","C","","C","","","S1.1","S1.2.1.2.1","221.939","14","Plunging","NW","5.5","Low"
"04/01/0482/B","50","6","P","6","5","5","","C","","","","P","","C","","","","","C","","C","","","S1.2.1.2.1","","35.203","8","Plunging","NW","5.5","Low"
"04/01/0482/C","50","3","P","3","8D","5","","","","M","","C","","C","","","","","C","","C","","","S1.1","S1.2.1.2.1","153.774","29","Plunging","NE","5.5","Low"
"04/01/0483/A","50","2","P","2","8D","4","","","","M","","C","","P","","","","","C","","C","","","S1.1","S1.2.1.1","99.212","48","Surging","W","5.5","Low"
"04/01/0484/A","51","6","P","6","5","5","","C","","M","","P","","","","","","","C","","C","","","S1.2.1.2.1","","90.718","8","Plunging","NW","5.5","Low"
"04/01/0485/A","50","2","P","2","8D","4","","","","M","","P","","C","","","","","C","","C","","","S1.1","S1.2.1.1","28.658","15","Plunging","N","5.5","Low"
"04/01/0486/A","51","3","P","3","8A","5","","","","M","","C","","P","","","","","C","","","","","S1.1","S1.2.1.2.1","25.711","15","Plunging","NW","5.5","Low"
"04/01/0487/A","51","3","P","3","8A","5","","","","M","","C","","","","","","","C","","","","","S1.1","S1.2.1.2.1","75.283","15","Plunging","S","5.5","Low"
"04/01/0487/B","51","6","P","6","5","5","","C","","","","","","C","","","","","C","","P","","","S1.2.1.2.1","","40.087","8","Plunging","SE","5.5","Low"
"04/01/0487/C","51","3","P","3","8D","5","","","","M","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","81.927","13","Plunging","SE","5.5","Low"
"04/01/0488/A","51","6","P","6","5","5","C","","","M","","","","","","","","","C","","C","","","S1.2.1.2.1","","15.042","11","Plunging","S","5.5","Low"
"04/01/0488/B","51","3","P","3","8D","5","","","","M","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","50.105","15","Plunging","S","5.5","Low"
"04/01/0489/A","51","6","P","6","9A","5","","C","","","","","","","","","","","C","","P","","","S1.2.1.2.1","","98.189","8","Plunging","S","5.5","Low"
"04/01/0490/A","51","3","P","3","9A","5","C","","M","","","P","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","54.627","6","Spilling","SW","5.5","Low"
"04/01/0491/A","51","6","P","6","5","5","","","","M","","C","","","","","","","C","","C","","","S1.2.1.2.1","","101.247","12","Plunging","S","5.5","Low"
"04/01/0492/A","51","6","P","6","5","5","C","","N","","","","","","","","","","C","","C","","","S1.2.1.2.1","","101.549","12","Plunging","E","5.5","Low"
"04/01/0493/A","50","6","P","6","9A","5","C","","M","M","","","","","","","","","C","","C","","","S1.2.1.2.1","","197.001","12","Plunging","NW","5.5","Low"
"04/01/0494/A","51","6","P","6","5","5","C","","N","","","","","","","","","","P","","C","","","S1.2.1.2.1","","89.653","35","Plunging","NE","5.5","Low"
"04/01/0494/B","51","6","P","6","9A","5","C","","N","","","","","","","","","","C","","C","","","S1.2.1.2.1","","97.891","4","Spilling","SW","5.5","Low"
"04/01/0495/A","50","3","P","3","8D","5","C","","","N","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","283.356","17","Plunging","W","5.5","Low"
"04/01/0496/A","51","6","P","6","8D","5","C","","N","","","P","","","","","","","C","","P","","","S1.2.1.2.1","","123.873","13","Plunging","SW","5.5","Low"
"04/01/0497/A","51","3","P","3","5","5","","C","","","","P","","","","","","","C","","P","","","S1.1","S1.2.1.2.1","67.639","10","Plunging","W","5.5","Low"
"04/01/0497/B","51","3","P","3","9A","5","","C","","","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","126.217","3","Spilling","SW","5.5","Low"
"04/01/0497/C","51","6","P","6","9A","5","C","","","N","","","","","","","","","C","","P","","","S1.2.1.2.1","","208.625","8","Plunging","SW","5.5","Low"
"04/01/0498/A","51","6","P","6","5","5","C","","","N","","","","","","","","","C","","P","","","S1.2.1.2.1","","509.021","12","Plunging","SW","5.5","Low"
"04/01/0499/A","51","3","P","3","9A","5","C","","N","","","C","","","","","","","P","","C","","","S1.1","S1.2.1.2.1","143.631","4","Spilling","SE","5.5","Low"
"04/01/0500/A","51","6","P","6","9A","5","C","","N","","","","","","","","","","","","","","","S1.2.1.2.1","","103.389","14","Plunging","S","5.5","Low"
"04/01/0501/A","51","6","P","6","9A","5","","","N","","","","","","","","","","","","","","","S1.2.1.2.1","","152.47","5","Spilling","SW","5.5","Low"
"04/01/0502/A","50","6","P","6","9A","5","","","","N","","","","","","","","","C","","","","","S1.2.1.2.1","","117.03","14","Plunging","NW","5.5","Low"
"04/01/0502/B","50","6","P","6","9A","5","","C","","","","P","","P","","","","","C","","P","","","S1.2.1.2.1","","60.296","11","Plunging","NW","5.5","Low"
"04/01/0502/C","50","6","P","6","5","5","C","","","N","","P","C","","","","","","C","","","","","S1.2.1.2.1","","325.93","15","Plunging","NW","5.5","Low"
"04/01/0502/D","50","6","P","6","9A","5","C","","","","","","","","","","","","C","","P","","","S1.2.1.2.1","","306.082","7","Plunging","W","5.5","Low"
"04/01/0503/A","51","6","P","6","9A","5","C","P","","","","","","","","","P","","C","","","","","S1.2.1.2.1","","92.336","7","Plunging","SW","5.5","Low"
"04/01/0504/A","51","6","P","6","9A","5","","","","N","","","","","","","C","","","","","","","S1.2.1.2.1","","82.952","2","Spilling","S","5.5","Low"
"04/01/0504/B","51","7","P","7","9A","4","C","","","","","","","","","","","","","","","","","S1.2.2.2","","500.49","2","Spilling","SW","5.5","Low"
"04/01/0505/A","51","7","P","7","9A","4","C","","N","","","","","","","","C","","","","","","","S1.2.2.2","","742.611","1","Spilling","SW","5.5","Low"
"04/01/0506/A","53","7","P","7","10A","4","","C","","","","","","","","","C","","","","","","","S1.2.2.2","","463.889","1","Spilling","NW","5.5","Moderate"
"04/01/0508/A","53","7","P","7","9A","4","P","C","N","","","","","","","","C","","","","C","","","S1.2.2.2","","1050.78","1","Spilling","NE","5.5","Low"
"04/01/0508/B","53","6","P","6","5","5","C","","N","","","","","","","","P","","","","P","","","S1.2.1.2.1","","559.399","12","Plunging","NE","5.5","Low"
"04/01/0508/C","53","6","P","6","9A","5","C","","N","","","","","","","","C","","","","P","","","S1.2.1.2.1","","78.556","6","Spilling","NE","5.5","Low"
"04/01/0509/A","50","6","P","6","5","5","C","","N","","","","C","","","","C","","C","","P","","","S1.2.1.2.1","","397.319","11","Plunging","NE","5.5","Low"
"04/01/0510/A","50","6","P","6","5","5","C","","N","","","","","","","","","","C","","P","","","S1.2.1.2.1","","273.975","15","Plunging","NE","5.5","Low"
"04/01/0510/B","50","6","P","6","5","5","C","","N","","","","","","","","","","C","","C","","","S1.2.1.2.1","","256.522","15","Plunging","N","5.5","Low"
"04/01/0510/C","50","6","P","6","9A","5","C","P","N","","","","","","","","C","","","","P","","","S1.2.1.2.1","","172.291","4","Spilling","SE","5.5","Low"
"04/01/0511/A","50","6","P","6","5","5","","C","","","","","","","","","P","","","","","","","S1.2.1.2.1","","261.998","7","Plunging","SE","5.5","Low"
"04/01/0512/A","41","6","SP","6","5","5","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","47.313","4","Spilling","NE","5.5","Low"
"04/01/0512/B","41","6","SP","6","5","5","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","283.831","7","Plunging","N","5.6","Moderate"
"04/01/0513/A","41","6","SP","6","5","5","","C","","","","","","","","","","","C","","","","","S1.2.1.2.1","","171.522","8","Plunging","NE","5.6","Low"
"04/01/0514/A","41","6","SP","6","6A","5","C","","","N","","P","","","","","","","C","","C","","","S1.2.1.2.1","","297.638","9","Plunging","NE","5.6","Low"
"04/01/0515/A","41","6","SP","6","6A","5","C","C","","","","C","","","","","","","C","","","","","S1.2.1.2.1","","260.514","11","Plunging","NE","5.6","Low"
