"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"04/01/0516/A","41","6","SP","6","9A","5","C","P","","","","P","","P","","","","","C","","C","","","S1.2.1.2.1","","71.437","5","Spilling","SE","5.6","Low"
"04/01/0517/A","41","6","SP","6","6B","5","C","P","","","","","","C","","","","","C","","P","","","S1.2.1.2.1","","91.763","7","Plunging","E","5.6","Low"
"04/01/0518/A","41","6","SP","6","6A","5","C","P","","","","C","","","","","","","C","","","","","S1.2.1.2.1","","171.236","9","Plunging","NE","5.6","Low"
"04/01/0519/A","41","6","SP","6","6B","5","C","P","","","","P","","","","","","","C","","","","","S1.2.1.2.1","","245.24","5","Spilling","NE","5.6","Low"
"04/01/0520/A","41","5","SP","5","6B","4","","","","N","","C","","","","","","","C","","","","","S1.2.1.1","","210.468","10","Plunging","NE","5.6","Low"
"04/01/0521/A","40","2","SP","2","8D","4","","","","N","","C","","","","","","","C","","","","","S1.1","S1.2.1.1","59.599","25","Plunging","NE","5.6","Low"
"04/01/0522/A","41","6","SP","6","6A","5","","C","","","","P","","","","","","","C","","","","","S1.2.1.2.1","","42.576","9","Plunging","N","5.6","Low"
"04/01/0523/A","41","5","SP","5","6B","4","C","","","N","","P","","P","","","","","C","","","","","S1.2.1.1","","149.55","10","Plunging","NE","5.6","Low"
"04/01/0524/A","41","2","SP","2","8D","5","C","","","N","","P","","P","","","","","C","","P","","","S1.1","S1.2.1.1","227.946","7","Plunging","NE","5.6","Low"
"04/01/0525/A","41","6","SP","6","5","5","P","","","","","","","P","","","","","C","","C","","","S1.2.1.2.1","","221.418","7","Plunging","NE","5.6","Low"
"04/01/0526/A","41","6","SP","6","5","5","","C","","","","","","","","","","","C","","","","","S1.2.1.2.1","","120.919","8","Plunging","SE","5.6","Low"
"04/01/0527/A","41","6","SP","6","6A","5","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","226.011","6","Spilling","E","5.6","Low"
"04/01/0528/A","41","6","SP","6","6A","5","","C","","","","C","","P","","","","","C","","C","","","S1.2.1.2.1","","89.794","4","Spilling","NE","5.6","Low"
"04/01/0529/A","41","6","SP","6","9A","5","C","","N","","","","","","","","P","","C","","","","","S1.2.1.2.1","","322.06","4","Spilling","NE","5.6","Low"
"04/01/0529/B","41","6","SP","6","9A","5","","","","M","","","","","","","P","","C","","","","","S1.2.1.2.1","","74.126","5","Spilling","E","5.6","Low"
"04/01/0529/C","41","6","SP","6","9A","5","","C","","","","","","","","","","","C","","C","","","S1.2.1.2.1","","78.546","3","Spilling","SE","5.6","Low"
"04/01/0530/A","43","10","SP","10","10A","5","","C","","","","","","","","","C","","","","","","","S1.2","S2.3","528.194","6","Spilling","S","1.5","Low"
"04/01/0530/B","43","6","SP","6","9A","5","","C","","","","","","","","","","","C","","C","","","S1.2.1.2.1","","92.347","4","Spilling","S","5.6","Low"
"04/01/0531/A","41","6","SP","6","9A","5","","","","M","","P","","","","","","","C","","","","","S1.2.1.2.1","","77.676","5","Spilling","S","5.6","Low"
"04/01/0531/B","41","6","SP","6","9A","5","","","","M","","","","P","","","","","C","","C","","","S1.2.1.2.1","","215.142","3","Spilling","E","5.6","Low"
"04/01/0531/C","41","6","SP","6","7","4","","","M","","","","","C","","","","","C","","C","","","S1.2.1.2.1","","59.414","2","Spilling","NE","5.6","Low"
"04/01/0532/A","41","5","SP","5","6B","4","","","","M","","P","","","","","","","C","","C","","","S1.2.1.1","","43.776","7","Plunging","S","5.6","Low"
"04/01/0533/A","41","5","SP","5","7","4","","","","M","","C","","P","","","","","C","","C","","","S1.2.1.1","","194.285","3","Spilling","E","5.6","Low"
"04/01/0534/A","41","6","SP","6","6A","4","","C","","","","","","P","","","","","C","","P","","","S1.2.1.2.1","","210.358","5","Plunging","SE","5.6","Low"
"04/01/0535/A","41","6","SP","6","6B","4","","","","M","","C","","","","","","","C","","P","","","S1.2.1.2.1","","116.669","6","Plunging","SE","5.6","Low"
"04/01/0535/B","41","2","SP","2","1C","2","","","","M","","C","","","","","","","C","","C","","","S1.1","S1.2.1.1","32.022","14","Plunging","NE","5.6","Low"
"04/01/0536/A","41","6","SP","6","5","4","","C","","","","","","C","","","","","C","","","","","S1.2.1.2.1","","557.069","6","Plunging","NE","5.6","Low"
"04/01/0537/A","41","5","SP","5","6A","4","","C","","","","","","","","","","","C","","","","","S1.2.1.1","","419.799","7","Plunging","E","5.6","Low"
"04/01/0538/A","30","2","SE","2","6B","4","","","","M","","C","","P","","","","","C","","","P","","S1.1","S1.2.1.1","176.33","10","Plunging","E","5.6","Low"
"04/01/0539/A","30","2","SE","2","6B","1","","","","M","","C","","","","","","","C","","C","C","","S1.1","S1.2.1.1","47.626","3","Spilling","N","5.6","Low"
"04/01/0540/A","30","2","SE","2","6A","5","","","","M","","C","","C","","","","","C","","C","C","","S1.1","S1.2.1.1","50.769","5","Plunging","NW","5.6","Low"
"04/01/0541/A","30","3","SE","3","5","3","","","","M","","","","P","","","","","C","","P","C","","S1.1","S1.2.1.2.1","224.207","5","Plunging","NW","5.6","Low"
"04/01/0542/A","32","7","SE","7","5","3","","C","","","","","","","","","","","","","","P","","S1.2.2.2","","755.492","6","Plunging","NW","5.6","Moderate"
"04/01/0543/A","32","7","SE","7","9A","5","","C","","","","","","","","","C","","C","","","","","S1.2.2.2","","578.292","6","Spilling","SE","5.6","Low"
"04/01/0544/A","53","10","P","10","10A","5","","C","","","","","","","","","C","","C","","","","","S1.2","S2.3","311.691","2","Spilling","S","5.6","Low"
"04/01/0545/A","51","6","P","6","9A","5","P","C","","","","","","","","","C","","C","","","","","S1.2.1.2.1","","476.653","3","Spilling","SW","5.6","Low"
"04/01/0546/A","53","10","P","10","10A","5","","C","","","","","","","","","","","C","","","","","S1.2","S2.3","228.952","4","Spilling","SW","5.6","Low"
"04/01/0546/B","53","6","P","6","5","5","","C","","","","","","","","","","","C","","","","","S1.2.1.2.1","","140.951","25","Plunging","W","5.6","Low"
"04/01/0547/A","53","6","P","6","9A","5","","","","N","","","","","","","C","","C","","C","","","S1.2.1.2.1","","316.895","1","Spilling","N","5.6","Low"
"04/01/0548/A","53","6","P","6","9A","5","","C","","","","","","P","","","","","C","","C","","","S1.2.1.2.1","","79.259","7","Plunging","N","5.6","Low"
"04/01/0548/B","53","3","P","3","8D","5","C","P","","","","","","","","","C","","C","","C","","","S1.1","S1.2.1.2.1","179.511","16","Plunging","N","5.6","Low"
"04/01/0549/A","53","6","P","6","9A","5","C","","","","","","","P","","","C","","C","","C","","","S1.2.1.2.1","","157.466","8","Spilling","N","5.6","Low"
"04/01/0550/A","53","6","P","6","9A","4","C","","","","","","","","","","C","","C","","C","","","S1.2.1.2.1","","184.271","6","Spilling","E","5.6","Low"
"04/01/0551/A","53","6","P","6","9A","5","C","","","","","","","","","","C","","C","","P","","","S1.2.1.2.1","","184.216","13","Plunging","S","5.6","Low"
"04/01/0552/A","53","3","P","3","5","5","C","","","","","C","","","","","","","C","","C","","","S1.1","S1.2.1.2.1","187.62","16","Plunging","E","5.6","Low"
"04/01/0552/B","53","6","P","6","9A","5","C","P","","","","","","P","","","","","C","","C","","","S1.2.1.2.1","","88.376","4","Spilling","NE","5.6","Low"
"04/01/0552/C","53","6","P","6","9A","5","C","","","","","","","","","","","","C","","C","","","S1.2.1.2.1","","333.818","3","Spilling","NE","5.6","Low"
"04/01/0553/A","51","6","P","6","5","5","C","","","N","","","","","","","C","","C","","C","","","S1.2.1.2.1","","315.922","16","Plunging","NE","5.6","Low"
"04/01/0553/B","51","7","P","7","9A","4","C","","","","","","","","","","C","","C","","C","","","S1.2.2.2","","252.242","4","Spilling","NE","5.6","Low"
"04/01/0554/A","30","3","SE","3","5","3","","","","M","","P","","C","","","","","","","P","","","S1.1","S1.2.1.2.1","196.097","5","Plunging","NW","5.6","Low"
"04/01/0555/A","32","6","SE","6","5","3","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","178.85","9","Plunging","NW","5.6","Moderate"
"04/01/0556/A","30","6","SE","6","6A","3","P","","","M","","","","C","","","","","","","","","","S1.2.1.2.1","","199.135","10","Plunging","NW","5.6","Moderate"
"04/01/0557/A","41","5","SP","5","6B","5","","","M","","","P","","","","","","","","","C","","","S1.2.1.1","","282.405","7","Plunging","N","5.6","Low"
"04/01/0557/B","41","2","SP","2","6B","5","","","","M","","","","C","","","","","","","C","","","S1.1","S1.2.1.1","113.441","6","Plunging","N","5.6","Low"
"04/01/0557/C","41","6","SP","6","6B","4","","","M","","","C","","P","","","","","","","P","","","S1.2.1.2.1","","40.645","8","Plunging","N","5.6","Low"
"04/01/0557/D","41","5","SP","5","6B","5","","","M","","","","","C","","","","","C","","C","C","C","S1.2.1.1","","299.184","4","Spilling","NE","5.6","Low"
"04/01/0558/A","30","2","SE","2","6B","5","","","","M","","C","P","C","","","","","","","C","P","C","S1.1","S1.2.1.1","74.293","4","Spilling","NW","5.6","Low"
"04/01/0558/B","30","3","SE","3","6B","3","","","M","M","","C","","C","","","","","","","C","","P","S1.1","S1.2.1.2.1","95.11","5","Plunging","NW","5.6","Low"
"04/01/0558/C","30","2","SE","2","2A","1","","","","M","","C","","C","","","","","","","P","","P","S1.1","S1.2.1.1","112.177","7","Plunging","NW","5.6","Low"
"04/01/0558/D","30","6","SE","6","6B","3","","","M","","","C","","P","","","","","","","P","","","S1.2.1.2.1","","156.971","5","Plunging","NW","5.6","Low"
"04/01/0558/E","30","2","SE","2","6B","5","","","","M","","C","","C","","","","","","","P","","P","S1.1","S1.2.1.1","129.139","7","Plunging","NW","5.6","Low"
"04/01/0558/F","30","3","SE","3","6B","3","","","","M","","C","","P","","","","","","","","","","S1.1","S1.2.1.2.1","51.474","5","Plunging","NW","5.6","Low"
"04/01/0558/G","30","2","SE","2","6B","5","","","","M","","C","","C","","","","","","","C","","P","S1.1","S1.2.1.1","176.562","6","Plunging","NW","5.6","Low"
"04/01/0558/H","30","2","SE","2","6B","5","","","","M","","C","P","P","","","","","","","C","","P","S1.1","S1.2.1.1","118.49","11","Plunging","NW","5.6","Low"
"04/01/0559/A","30","3","SE","3","6B","5","","","","M","","C","P","C","","","","","","","P","","P","S1.1","S1.2.1.2.1","118.963","11","Plunging","NW","5.6","Low"
"04/01/0560/A","30","3","SE","3","5","3","","","M","","","C","","P","","","","","","","","","P","S1.1","S1.2.1.2.1","196.369","5","Plunging","NW","5.6","Low"
"04/01/0561/A","32","6","SE","6","5","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","130.927","7","Plunging","NW","5.6","Low"
"04/01/0562/A","32","6","SE","6","5","3","","P","M","","","","","","","","","","","","","","","S1.2.1.2.1","","152.526","8","Plunging","NW","5.6","Moderate"
"04/01/0563/A","32","6","SE","6","5","3","","C","M","","","","","","","","","","","","","","","S1.2.1.2.1","","233.82","8","Plunging","NW","5.6","Moderate"
"04/01/0563/B","32","6","SE","6","7","3","","P","M","","","","","","","","","","","","P","C","","S1.2.1.2.1","","96.061","4","Spilling","NW","5.6","Moderate"
"04/01/0563/C","32","6","SE","6","7","5","","","M","","","P","C","C","","","","","","","P","C","","S1.2.1.2.1","","261","2","Spilling","NW","5.6","Moderate"
"04/01/0564/A","32","6","SE","6","7","3","","C","","","","","","","","","","","","","","C","","S1.2.1.2.1","","161.498","2","Spilling","NW","5.6","Moderate"
"04/01/0564/B","32","5","SE","5","7","5","","","M","","","C","","","","","","","","","C","","","S1.2.1.1","","481.061","4","Spilling","NW","5.6","Low"
"04/01/0565/A","31","5","SE","5","7","5","","P","M","","","C","C","","","","","","","","C","","","S1.2.1.1","","301.379","5","Plunging","N","5.6","Low"
"04/01/0565/B","31","5","SE","5","6B","5","","","M","","","C","P","P","","","","","","","C","C","","S1.2.1.1","","220.109","4","Spilling","NE","5.6","Low"
"04/01/0566/A","31","2","SE","2","6B","5","","","","M","","C","","C","","","","","","","C","C","P","S1.1","S1.2.1.1","129.961","10","Plunging","N","5.6","Low"
"04/01/0567/A","31","2","SE","2","6B","5","","","","M","","C","","P","","","","","","","C","C","P","S1.1","S1.2.1.1","247.464","6","Plunging","N","5.6","Low"
"04/01/0568/A","30","2","SE","2","6B","5","","","","M","","C","","","","","","","","","C","C","","S1.1","S1.2.1.1","83.158","7","Plunging","NE","5.6","Low"
"04/01/0568/B","30","1","SE","1","2A","1","","","","W","","C","C","","","","","","","","P","C","","S1.1","","61.976","43","Surging","N","5.6","Low"
"04/01/0569/A","31","1","SE","1","1A","2","","","","W","","C","P","","","","","","","","C","C","","S1.1","","51.45","62","Surging","SW","5.6","Low"
"04/01/0569/B","31","3","SE","3","6B","3","","","M","M","","","","C","","","","","","","","C","","S1.1","S1.2.1.2.1","112.163","6","Plunging","W","5.6","Low"
"04/01/0570/A","31","2","SE","2","6B","5","","","","M","","P","","C","","","","","","","P","C","","S1.1","S1.2.1.1","201.898","8","Plunging","NW","5.6","Low"
"04/01/0570/B","31","2","SE","2","6B","5","","","","M","","C","P","P","","","","","","","C","C","","S1.1","S1.2.1.1","370.425","4","Spilling","NW","5.6","Low"
"04/01/0571/A","31","6","SE","6","6B","3","","","M","","","P","","C","","","","","","","","C","","S1.2.1.2.1","","177.349","6","Plunging","NW","5.6","Low"
"04/01/0572/A","30","2","SE","2","6B","5","","","","M","","C","","P","","","","","","","C","C","","S1.1","S1.2.1.1","200.341","14","Plunging","N","5.6","Low"
"04/01/0572/B","30","2","SE","2","1C","5","","","","M","","C","","","","","","","","","C","C","","S1.1","S1.2.1.1","136.706","29","Collapsing","N","5.6","Low"
"04/01/0572/C","30","2","SE","2","6B","5","","","","W","","C","P","","","","","","","","C","C","","S1.1","S1.2.1.1","118.493","13","Plunging","N","5.6","Low"
"04/01/0573/A","30","2","SE","2","6B","5","","","","W","","C","","","","","","","","","C","C","","S1.1","S1.2.1.1","165.645","17","Plunging","NW","5.6","Low"
"04/01/0574/A","30","6","SE","6","6B","3","","","M","","","","","C","","","","","","","","C","","S1.2.1.2.1","","198.462","6","Plunging","W","5.6","Low"
"04/01/0575/A","30","2","SE","2","6B","5","","","","M","","C","","P","","","","","","","C","C","","S1.1","S1.2.1.1","141.586","17","Plunging","N","5.6","Low"
"04/01/0575/B","30","2","SE","2","6B","5","","","","M","","C","","P","","","","","","","C","C","","S1.1","S1.2.1.1","63.051","9","Plunging","N","5.6","Low"
"04/01/0575/C","30","2","SE","2","1C","5","","","","W","","C","","","","","","","","","C","C","C","S1.1","S1.2.1.1","177.555","19","Plunging","NW","5.6","Low"
"04/01/0576/A","30","2","SE","2","6A","5","","","","W","","P","","P","","","","","","","","C","C","S1.1","S1.2.1.1","111.41","12","Plunging","NW","5.6","Low"
"04/01/0577/A","30","3","SE","3","6A","3","","","","M","","","","","","","","","","","","C","","S1.1","S1.2.1.2.1","107.92","16","Plunging","NW","5.6","Low"
"04/01/0578/A","32","6","SE","6","5","3","","C","","","","","","","","","","","","","","C","","S1.2.1.2.1","","99.461","10","Plunging","NW","5.6","Low"
"04/01/0579/A","32","6","SE","6","5","3","","C","","","","","","","","","","","","","","C","","S1.2.1.2.1","","105.676","11","Plunging","N","5.6","Moderate"
"04/01/0580/A","40","6","SP","6","6B","3","","C","","","","P","","P","","","","","","","","C","","S1.2.1.2.1","","86.321","9","Plunging","N","5.6","Low"
"04/01/0580/B","40","3","SP","3","6B","3","","","M","","","P","","P","","","","","","","C","C","","S1.1","S1.2.1.2.1","90.109","4","Spilling","N","5.6","Low"
"04/01/0581/A","40","2","SP","2","6B","5","","","","M","","C","","P","","","","","","","P","C","","S1.1","S1.2.1.1","183.963","6","Plunging","N","5.6","Low"
"04/01/0581/B","40","2","SP","2","6B","5","","","M","","","C","","","","","","","","","C","C","","S1.1","S1.2.1.1","59.292","5","Plunging","N","5.6","Low"
"04/01/0582/A","30","2","SE","2","6B","5","","","","W","","C","","P","","","","","","","C","C","","S1.1","S1.2.1.1","174.368","13","Plunging","NE","5.6","Low"
"04/01/0582/B","30","2","SE","2","1C","5","","","","W","M","C","","","","","","","","","","C","C","S1.1","S1.2.1.1","45.692","25","Collapsing","N","5.6","Low"
"04/01/0583/A","32","5","SE","5","6A","5","","","W","","","","","C","","","","","","","","C","C","S1.2.1.1","","39.623","11","Plunging","W","5.6","Low"
"04/01/0584/A","30","2","SE","2","1C","5","","","","W","","C","","P","","","","","","","C","C","","S1.1","S1.2.1.1","124.844","18","Plunging","NW","5.6","Low"
"04/01/0584/B","30","1","SE","1","1A","1","","","","W","","C","P","","","","","","","","C","C","","S1.1","","22.533","43","Surging","NW","5.6","Low"
"04/01/0584/C","30","2","SE","2","6B","5","","","","M","","P","","","","","","","","","P","C","","S1.1","S1.2.1.1","47.289","14","Plunging","NW","5.6","Low"
"04/01/0584/D","30","2","SE","2","1C","5","","","","W","","C","","","","","","","","","C","C","","S1.1","S1.2.1.1","95.424","25","Collapsing","NW","5.6","Low"
"04/01/0585/A","41","3","SP","3","6B","3","","","M","M","","P","","C","","","","","","","","C","","S1.1","S1.2.1.2.1","207.183","6","Plunging","NW","5.6","Low"
"04/01/0585/B","41","3","SP","3","2A","1","","","","M","","C","","C","","","","","","","","C","","S1.1","S1.2.1.2.1","116.39","20","Plunging","NW","5.6","Low"
"04/01/0585/C","41","6","SP","6","5","3","","","M","","","","","P","","","","","","","","C","","S1.2.1.2.1","","187.01","8","Plunging","N","5.6","Moderate"
"04/01/0586/A","40","3","SP","3","6B","3","","","","M","","P","","C","","","","","","","P","C","","S1.1","S1.2.1.2.1","92.379","9","Plunging","N","5.6","Low"
"04/01/0586/B","40","2","SP","2","6B","5","","","M","M","","C","","P","","","","","","","C","C","","S1.1","S1.2.1.1","300.602","6","Plunging","NE","5.6","Low"
"04/01/0587/A","30","2","SE","2","6B","5","","","","M","","C","","C","","","","","","","C","C","","S1.1","S1.2.1.1","49.712","5","Plunging","NE","5.6","Low"
"04/01/0587/B","30","2","SE","2","6B","5","","","","M","","C","","P","","","","","","","C","C","P","S1.1","S1.2.1.1","217.664","8","Plunging","N","5.6","Low"
"04/01/0587/C","30","1","SE","1","2A","1","","","","W","M","C","C","P","","","","","","","C","C","P","S1.1","","142.049","29","Collapsing","NW","5.6","Low"
"04/01/0588/0","30","13","SE","13","5","3","","","W","","","P","","P","C","","","P","","","P","","P","","","619.473","","","","",""
"04/01/0589/0","30","8","SE","8","6B","5","","","W","","","","","P","C","","","C","","","","","P","","","226.905","","","","",""
"04/01/0590/0","32","13","SE","13","5","3","","","W","","","","","","P","","","P","","","","P","P","","","364.227","","","","",""
"04/01/0591/0","32","27","SE","27","4","3","","","W","","","","","","","","","","","","","C","P","","","192.673","","","","",""
"04/01/0592/0","30","12","SE","12","7","3","","","W","","","","","","C","","","P","","","","C","P","","","333.583","","","","",""
"04/01/0593/0","32","28","SE","28","4","3","","","M","","","","","","","","","","","","","P","P","","","144.252","","","","",""
"04/01/0594/0","30","20","SE","20","7","3","","","M","","","","","","C","","","P","","","","P","C","","","320.595","","","","",""
"04/01/0595/0","30","12","SE","12","7","3","","","M","","","","","P","C","","","P","","","","P","C","","","352.096","","","","",""
"04/01/0596/0","40","12","SP","12","5","4","","","M","","","","","P","C","","","P","","","P","C","C","","","839.992","","","","",""
"04/01/0597/0","40","12","SP","12","7","4","","","M","","","","","P","C","","","P","","","P","C","C","","","232.402","","","","",""
"04/01/0598/0","30","5","SE","5","2A","1","","","W","","","","","","C","","","P","","P","P","C","C","","","953.622","","","","",""
"04/01/0599/0","30","5","SE","5","2A","1","","","W","","","","","","C","","","P","","","P","P","P","","","130.488","","","","",""
"04/01/0600/0","30","5","SE","5","2A","1","","","W","","","","","","C","","","P","","P","","P","P","","","87.343","","","","",""
"04/01/0602/0","30","8","SE","8","6B","5","","","M","","","","","P","C","","","P","","","P","","","","","75.475","","","","",""
"04/01/0603/0","42","28","SP","28","7","3","","","M","","","","","","","","","P","","","","","","","","62.142","","","","",""
"04/01/0604/0","42","28","SP","28","7","3","","C","","","","","","","","","","C","","","","","","","","119.965","","","","",""
"04/01/0605/0","40","13","SP","13","5","4","","","N","","","","","P","P","","","P","","","","","","","","446.132","","","","",""
"04/01/0606/0","40","15","SP","15","5","4","","","N","","","","","P","P","","","P","","","","","","","","215.013","","","","",""
"04/03/0001/B","33","6","SE","6","5","3","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","135.631","1","Spilling","W","6.1","Low"
"04/03/0156/A","32","6","SE","6","6A","3","","C","","","","","P","","","","","","","","","","","S1.2.1.2.1","","99.576","1","Spilling","W","6.1","Moderate"
"04/03/0156/B","32","6","SE","6","7","3","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","409.742","1","Spilling","SW","6.1","Moderate"
"04/03/0157/A","32","6","SE","6","5","3","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","639.5","2","Spilling","SW","6.1","Low"
"04/03/0158/A","32","6","SE","6","5","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","456.903","3","Spilling","SW","6.1","Low"
"04/03/0158/B","32","5","SE","5","6A","3","","","M","","","","","","","","","","","","","","","S1.2.1.1","","1704.632","3","Spilling","SW","6.1","Low"
"04/03/0159/A","32","5","SE","5","6B","3","","P","","","","","","","","","","","","","","","","S1.2.1.1","","318.706","4","Spilling","SW","6.1","Low"
"04/03/0159/B","32","6","SE","6","6A","3","","P","","","","","","C","","","","","","","","","","S1.2.1.2.1","","992.687","5","Plunging","SW","6.1","Low"
"04/03/0160/A","32","5","SE","5","6B","5","","","","","","","P","","","","","","","","","","","S1.2.1.1","","1570.241","4","Spilling","SW","6.1","Low"
"04/03/0160/B","32","3","SE","3","6A","3","","","M","","","","","","","","","","","","","","","S1.1","S1.2.1.2.1","308.559","3","Spilling","SW","6.1","Low"
"04/03/0161/A","31","6","SE","6","6B","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","236.043","3","Spilling","SW","6.1","Low"
"04/03/0161/B","31","6","SE","6","6A","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","864.371","4","Spilling","SW","6.1","Low"
"04/03/0162/A","32","6","SE","6","6A","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","912.685","4","Spilling","SW","6.1","Low"
"04/03/0162/B","32","6","SE","6","5","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","645.5","3","Spilling","SW","6.1","Low"
"04/03/0163/A","32","6","SE","6","6B","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","343.508","3","Spilling","SW","6.1","Low"
"04/03/0164/A","32","6","SE","6","6A","3","","","","","","","","","","","","","","","","","","S1.2.1.2.1","","288.581","2","Spilling","SW","6.1","Moderate"
"04/03/0165/A","32","6","SE","6","5","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","489.724","3","Spilling","SW","6.1","Low"
"04/03/0166/A","32","6","SE","6","5","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","505.985","3","Spilling","SW","6.1","Moderate"
"04/03/0167/A","32","6","SE","6","6A","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","730.159","3","Spilling","SW","6.1","Low"
"04/03/0167/B","32","3","SE","3","6A","3","","","M","","","","","","","","","","","","","","","S1.1","S1.2.1.2.1","96.354","2","Spilling","SW","6.1","Low"
"04/03/0167/C","32","6","SE","6","9A","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","787.905","3","Spilling","SW","6.1","Low"
"04/03/0168/A","32","3","SE","3","6A","3","","","M","","","","","","","","","","","","","","","S1.1","S1.2.1.2.1","268.74","3","Spilling","SW","6.1","Low"
"04/03/0168/B","32","6","SE","6","5","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","181.976","3","Spilling","SW","6.1","Low"
"04/03/0169/A","32","3","SE","3","6A","3","","","M","","","","","","","","","","","","","","","S1.1","S1.2.1.2.1","340.411","3","Spilling","SW","6.1","Low"
"04/03/0169/B","32","6","SE","6","6A","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","552.656","3","Spilling","SW","6.1","Low"
"04/03/0169/C","32","4","SE","4","7","3","","","M","","","","","","","","","","","","","","","S1.1","S1.2.2.2","361.976","2","Spilling","SW","6.1","Low"
"04/03/0169/D","32","6","SE","6","6A","3","","","M","","","","","P","","","","","","","","","","S1.2.1.2.1","","629.159","3","Spilling","SW","6.1","Low"
"04/03/0170/A","32","7","SE","7","4","3","","P","M","","","","","","","","","","","","","","","S1.2.2.2","","406.857","3","Spilling","SW","6.1","Moderate"
"04/03/0170/B","32","6","SE","6","5","3","","","M","","","","","","","","","","","","","","","S1.2.1.2.1","","506.482","3","Spilling","SW","6.1","Low"
"04/03/0170/C","32","6","SE","6","6A","3","","","M","","","","","P","","","","","","","","","","S1.2.1.2.1","","381.856","3","Spilling","SW","6.1","Low"
"04/03/0170/D","32","6","SE","6","6A","3","","C","","","","","","","","","","","","","","","","S1.2.1.2.1","","434.823","3","Spilling","SW","6.1","Low"
"04/03/0171/A","32","6","SE","6","5","3","","C","","","","","","P","","","","","","","C","","","S1.2.1.2.1","","471.194","2","Spilling","SW","6.1","Moderate"
"04/03/0171/B","32","6","SE","6","5","4","","C","M","","","P","","C","","","","","","","C","","","S1.2.1.2.1","","420.755","1","Spilling","S","6.1","Low"
"04/03/0172/A","41","6","SP","6","5","3","","","M","","","","P","C","","","","","C","","C","","","S1.2.1.2.1","","1039.636","1","Spilling","SW","6.1","Low"
"04/03/0173/A","42","6","SP","6","5","3","","","M","","","","","","","","","","C","","C","","","S1.2.1.2.1","","131.973","1","Spilling","SW","6.1","Low"
"04/03/0174/A","41","6","SP","6","6B","3","","","M","","","","","C","","","","","C","","C","","","S1.2.1.2.1","","478.919","1","Spilling","SW","6.1","Low"
